n1	n2	confidence	critical_value
256	16	0.95	0.33708782494068146
256	17	0.95	0.3280258998274803
256	18	0.95	0.31972263753414154
256	19	0.95	0.31207893043756485
256	20	0.95	0.30501285940408707
256	21	0.95	0.2984560802578926
256	22	0.95	0.29235103726387024
256	23	0.95	0.28664886951446533
256	24	0.95	0.28130780905485153
256	25	0.95	0.2762918770313263
256	26	0.95	0.2715699300169945
256	27	0.95	0.2671148329973221
256	28	0.95	0.2629028186202049
256	29	0.95	0.25891298055648804
256	30	0.95	0.25512682646512985
256	31	0.95	0.25152795761823654
256	32	0.95	0.24810175597667694
256	33	0.95	0.24483513087034225
256	34	0.95	0.24171636998653412
256	35	0.95	0.2387348860502243
256	36	0.95	0.23588114231824875
256	37	0.95	0.23314649611711502
256	38	0.95	0.23052310198545456
256	39	0.95	0.22800380736589432
256	40	0.95	0.2255820855498314
256	41	0.95	0.22325196862220764
256	42	0.95	0.22100799530744553
256	43	0.95	0.21884512901306152
256	44	0.95	0.21675873547792435
256	45	0.95	0.21474455296993256
256	46	0.95	0.21279864013195038
256	47	0.95	0.21091733872890472
256	48	0.95	0.2090972661972046
256	49	0.95	0.20733527839183807
256	50	0.95	0.20562844723463058
256	51	0.95	0.20397405326366425
256	52	0.95	0.2023695558309555
256	53	0.95	0.20081257820129395
256	54	0.95	0.19930090755224228
256	55	0.95	0.19783246517181396
256	56	0.95	0.1964052990078926
256	57	0.95	0.19501759111881256
256	58	0.95	0.19366761296987534
256	59	0.95	0.1923537477850914
256	60	0.95	0.19107449054718018
256	61	0.95	0.18982838839292526
256	62	0.95	0.1886141002178192
256	63	0.95	0.18743034452199936
256	64	0.95	0.186275914311409
256	65	0.95	0.1851496696472168
256	66	0.95	0.1840505227446556
256	67	0.95	0.18297746032476425
256	68	0.95	0.18192949146032333
256	69	0.95	0.18090571463108063
256	70	0.95	0.1799052432179451
256	71	0.95	0.1789272427558899
256	72	0.95	0.17797092348337173
256	73	0.95	0.17703553289175034
256	74	0.95	0.1761203482747078
256	75	0.95	0.1752246841788292
256	76	0.95	0.1743478924036026
256	77	0.95	0.17348934710025787
256	78	0.95	0.17264845967292786
256	79	0.95	0.171824648976326
256	80	0.95	0.1710173860192299
256	81	0.95	0.17022613435983658
256	82	0.95	0.16945040971040726
256	83	0.95	0.16868972778320313
256	84	0.95	0.16794364154338837
256	85	0.95	0.16721169650554657
256	86	0.95	0.1664934903383255
256	87	0.95	0.16578861325979233
256	88	0.95	0.16509667038917542
256	89	0.95	0.1644173040986061
256	90	0.95	0.16375014930963516
256	91	0.95	0.16309486329555511
256	92	0.95	0.1624511182308197
256	93	0.95	0.16181860119104385
256	94	0.95	0.1611969992518425
256	95	0.95	0.16058602184057236
256	96	0.95	0.15998538583517075
256	97	0.95	0.15939481556415558
256	98	0.95	0.15881405025720596
256	99	0.95	0.1582428365945816
256	100	0.95	0.1576809212565422
256	101	0.95	0.15712808817625046
256	102	0.95	0.15658408403396606
256	103	0.95	0.1560487076640129
256	104	0.95	0.15552174299955368
256	105	0.95	0.15500297397375107
256	106	0.95	0.15449220687150955
256	107	0.95	0.1539892628788948
256	108	0.95	0.15349393337965012
256	109	0.95	0.15300605446100235
256	110	0.95	0.15252544730901718
256	111	0.95	0.15205194056034088
256	112	0.95	0.15158537775278091
256	113	0.95	0.15112559497356415
256	114	0.95	0.15067244321107864
256	115	0.95	0.15022577345371246
256	116	0.95	0.14978543668985367
256	117	0.95	0.14935129135847092
256	118	0.95	0.14892321825027466
256	119	0.95	0.14850106835365295
256	120	0.95	0.14808472245931625
256	121	0.95	0.1476740539073944
256	122	0.95	0.14726894348859787
256	123	0.95	0.14686927944421768
256	124	0.95	0.1464749351143837
256	125	0.95	0.14608581364154816
256	126	0.95	0.1457018032670021
256	127	0.95	0.14532280713319778
256	128	0.95	0.14494870603084564
256	129	0.95	0.1445794180035591
256	130	0.95	0.14421483874320984
256	131	0.95	0.14385487884283066
256	132	0.95	0.1434994488954544
256	133	0.95	0.14314845949411392
256	134	0.95	0.14280182868242264
256	135	0.95	0.1424594596028328
256	136	0.95	0.14212128520011902
256	137	0.95	0.14178721606731415
256	138	0.95	0.1414571776986122
256	139	0.95	0.14113110303878784
256	140	0.95	0.14080891013145447
256	141	0.95	0.14049053192138672
256	142	0.95	0.14017588645219803
256	143	0.95	0.13986492902040482
256	144	0.95	0.13955757021903992
256	145	0.95	0.13925375789403915
256	146	0.95	0.13895342499017715
256	147	0.95	0.13865651190280914
256	148	0.95	0.13836295902729034
256	149	0.95	0.13807270675897598
256	150	0.95	0.13778569549322128
256	151	0.95	0.13750187307596207
256	152	0.95	0.13722117990255356
256	153	0.95	0.13694356381893158
256	154	0.95	0.13666898012161255
256	155	0.95	0.1363973692059517
256	156	0.95	0.13612868636846542
256	157	0.95	0.13586287945508957
256	158	0.95	0.13559990376234055
256	159	0.95	0.13533970713615417
256	160	0.95	0.13508225232362747
256	161	0.95	0.13482749462127686
256	162	0.95	0.13457538187503815
256	163	0.95	0.13432588428258896
256	164	0.95	0.1340789496898651
256	165	0.95	0.13383453339338303
256	166	0.95	0.1335926130414009
256	167	0.95	0.13335313647985458
256	168	0.95	0.13311606645584106
256	169	0.95	0.13288136571645737
256	170	0.95	0.1326490044593811
256	171	0.95	0.1324189454317093
256	172	0.95	0.13219114392995834
256	173	0.95	0.13196557760238647
256	174	0.95	0.1317422091960907
256	175	0.95	0.13152099400758743
256	176	0.95	0.13130191713571548
256	177	0.95	0.13108494132757187
256	178	0.95	0.1308700367808342
256	179	0.95	0.1306571662425995
256	180	0.95	0.13044629991054535
256	181	0.95	0.1302374228835106
256	182	0.95	0.13003049045801163
256	183	0.95	0.12982548028230667
256	184	0.95	0.12962237000465393
256	185	0.95	0.12942112237215042
256	186	0.95	0.12922172248363495
256	187	0.95	0.12902414053678513
256	188	0.95	0.12882834672927856
256	189	0.95	0.12863431870937347
256	190	0.95	0.12844203412532806
256	191	0.95	0.12825146317481995
256	192	0.95	0.12806259095668793
256	193	0.95	0.12787538021802902
256	194	0.95	0.12768983095884323
256	195	0.95	0.12750589847564697
256	196	0.95	0.12732357531785965
256	197	0.95	0.12714283168315887
256	198	0.95	0.12696364521980286
256	199	0.95	0.126786008477211
256	200	0.95	0.1266098916530609
256	201	0.95	0.1264352723956108
256	202	0.95	0.1262621283531189
256	203	0.95	0.12609045207500458
256	204	0.95	0.12592022120952606
256	205	0.95	0.12575141340494156
256	206	0.95	0.12558400630950928
256	207	0.95	0.12541799247264862
256	208	0.95	0.1252533495426178
256	209	0.95	0.12509005516767502
256	210	0.95	0.12492810189723969
256	211	0.95	0.12476746737957001
256	212	0.95	0.1246081292629242
256	213	0.95	0.12445008754730225
256	214	0.95	0.12429331243038177
256	215	0.95	0.12413778901100159
256	216	0.95	0.12398350983858109
256	217	0.95	0.12383045256137848
256	218	0.95	0.12367860227823257
256	219	0.95	0.12352795153856277
256	220	0.95	0.12337847799062729
256	221	0.95	0.12323017418384552
256	222	0.95	0.12308302521705627
256	223	0.95	0.12293700873851776
256	224	0.95	0.12279212474822998
256	225	0.95	0.12264835089445114
256	226	0.95	0.12250567227602005
256	227	0.95	0.12236408144235611
256	228	0.95	0.12222357094287872
256	229	0.95	0.1220841109752655
256	230	0.95	0.12194570899009705
256	231	0.95	0.12180833518505096
256	232	0.95	0.12167199701070786
256	233	0.95	0.12153666466474533
256	234	0.95	0.1214023306965828
256	235	0.95	0.12126899510622025
256	236	0.95	0.1211366355419159
256	237	0.95	0.12100524455308914
256	238	0.95	0.1208748146891594
256	239	0.95	0.12074532359838486
256	240	0.95	0.12061677128076553
256	241	0.95	0.12048915028572083
256	242	0.95	0.12036244571208954
256	243	0.95	0.12023664265871048
256	244	0.95	0.12011173367500305
256	245	0.95	0.11998771131038666
256	246	0.95	0.1198645681142807
256	247	0.95	0.11974228918552399
256	248	0.95	0.11962087452411652
256	249	0.95	0.1195003017783165
256	250	0.95	0.11938057094812393
256	251	0.95	0.11926166713237762
256	252	0.95	0.11914359033107758
256	253	0.95	0.11902632564306259
256	254	0.95	0.11890986561775208
256	255	0.95	0.11879420280456543
256	256	0.95	0.11867932230234146
